           1 ,        3964
           1 ,        2725
           1 ,        2221
           1 ,        2311
           1 ,        9011
           1 ,        9069
           1 ,        5272
           1 ,        2770
           1 ,        9219
           1 ,        5817
           1 ,        8350
           1 ,        6289
           1 ,        6981
           1 ,        3749
           1 ,        3570
           1 ,        6816
           1 ,        5398
           1 ,        4380
           1 ,        1133
           1 ,        3530
           1 ,        3762
           1 ,         139
           1 ,        9384
           1 ,        6334
           1 ,          67
           1 ,        2288
           1 ,        5432
           1 ,        1505
           1 ,        8984
           1 ,        5572
           1 ,        2127
           1 ,        7539
           1 ,        3352
           1 ,        6700
           1 ,        4502
           1 ,        6842
           1 ,        2150
           1 ,        1138
           1 ,        9681
           1 ,        7846
           1 ,        4062
           1 ,        3614
           1 ,        6042
           1 ,        8685
           1 ,        7911
           1 ,        1673
           1 ,        1053
           1 ,         305
           1 ,        4959
           1 ,        7867
           1 ,        9728
           1 ,         770
           1 ,        3615
           1 ,        5007
           1 ,        3016
           1 ,        4834
           1 ,        5159
           1 ,         195
           1 ,        4919
           1 ,        7897
           1 ,        8341
           1 ,        7753
           1 ,        3045
           1 ,        5021
           1 ,        6446
           1 ,        9702
           1 ,          77
           1 ,        4962
           1 ,        2938
           1 ,        7666
           1 ,        5929
           1 ,        5208
           1 ,        7439
           1 ,        7322
           1 ,         574
           1 ,        8952
           1 ,        9807
           1 ,        4057
           1 ,        2299
           1 ,         674
           1 ,        8516
           1 ,        4682
           1 ,         424
           1 ,         397
           1 ,        2701
           1 ,        4167
           1 ,        2593
           1 ,        3275
           1 ,        8202
           1 ,        6749
           1 ,        4888
           1 ,        6382
           1 ,         859
           1 ,        2265
           1 ,        4147
           1 ,        9400
           1 ,        7128
           1 ,        2679
           1 ,        1861
           1 ,        1531
           2 ,        7079
           2 ,        8855
           2 ,        9415
           2 ,        1998
           3 ,        9862
           3 ,        7583
           3 ,        2277
           3 ,        3469
           4 ,        1601
           4 ,        5299
           4 ,        8306
           4 ,        3523
           5 ,        6674
           5 ,        6205
           5 ,         235
           5 ,        1476
           6 ,        8700
           6 ,        7114
           6 ,        2268
           6 ,        2943
           7 ,        5535
           7 ,        2102
           7 ,        2601
           7 ,        5464
           8 ,        1151
           8 ,        5070
           8 ,        6963
           8 ,        2475
           9 ,        3076
           9 ,         125
           9 ,        5998
           9 ,        5049
          10 ,        9138
          10 ,        2353
          10 ,        3226
          10 ,        8080
          11 ,        3859
          11 ,        5071
          11 ,        3086
          11 ,        6301
          12 ,         864
          12 ,        9718
          12 ,         381
          12 ,         932
          13 ,        9705
          13 ,        3895
          13 ,        4630
          13 ,        7790
          14 ,       10000
          14 ,        3468
          14 ,        8939
          14 ,        4177
          15 ,        3040
          15 ,        9849
          15 ,        2484
          15 ,        4305
          16 ,         223
          16 ,        4073
          16 ,        3492
          16 ,        2803
          17 ,        2447
          17 ,         231
          17 ,        6252
          17 ,        3127
          18 ,        2974
          18 ,        7601
          18 ,         563
          18 ,        6310
          19 ,        4292
          19 ,        4293
          19 ,        7546
          19 ,        9710
          20 ,        5014
          20 ,        5848
          20 ,        4828
          20 ,        3486
          21 ,        2686
          21 ,        4276
          21 ,         833
          21 ,        3701
          22 ,        5454
          22 ,        2837
          22 ,        7024
          22 ,         585
          23 ,        8242
          23 ,        1549
          23 ,        7983
          23 ,         428
          24 ,        1419
          24 ,        4390
          24 ,        2785
          24 ,        8109
          25 ,        3160
          25 ,        7015
          25 ,        6574
          25 ,        3213
          26 ,        1791
          26 ,        3072
          26 ,        1318
          26 ,        1746
          27 ,        5781
          27 ,        4573
          27 ,         730
          27 ,        9473
          28 ,        4725
          28 ,        5324
          28 ,        6532
          28 ,        3559
          29 ,        4159
          29 ,        4292
          29 ,        8872
          29 ,        9479
          30 ,         708
          30 ,        5161
          30 ,        8478
          30 ,        6035
          31 ,        3248
          31 ,        7770
          31 ,        2203
          31 ,        4010
          32 ,        2368
          32 ,        7972
          32 ,         280
          32 ,        2553
          33 ,         801
          33 ,         256
          33 ,        2249
          33 ,        5461
          34 ,        8721
          34 ,        2718
          34 ,        6399
          34 ,         285
          35 ,        7838
          35 ,         689
          35 ,        3978
          35 ,        9387
          36 ,        9892
          36 ,        9749
          36 ,        9818
          36 ,        4745
          37 ,        8788
          37 ,        2176
          37 ,        2355
          37 ,        7108
          38 ,        5097
          38 ,        6690
          38 ,        9562
          38 ,        9391
          39 ,        8592
          39 ,        8091
          39 ,        6750
          39 ,        2498
          40 ,        6509
          40 ,        9032
          40 ,        3038
          40 ,        4374
          41 ,        4371
          41 ,        5273
          41 ,        3152
          41 ,        1292
          42 ,        2230
          42 ,        8050
          42 ,        3452
          42 ,        3505
          43 ,        9759
          43 ,        5402
          43 ,        1199
          43 ,        1380
          44 ,        9636
          44 ,         250
          44 ,        9335
          44 ,        7241
          45 ,         617
          45 ,        8753
          45 ,        1461
          45 ,         399
          46 ,        3015
          46 ,        4870
          46 ,        3471
          46 ,        3623
          47 ,        5973
          47 ,        2568
          47 ,        9560
          47 ,          52
          48 ,        9673
          48 ,        3523
          48 ,        1386
          48 ,        2613
          49 ,        3275
          49 ,        1602
          49 ,        5554
          49 ,        3410
          50 ,        6100
          50 ,        8247
          50 ,        9255
          50 ,        8213
          51 ,        1340
          51 ,        5285
          51 ,        2296
          51 ,        9070
          52 ,        5443
          52 ,        5429
          52 ,        1785
          52 ,          47
          53 ,        8781
          53 ,        3934
          53 ,        5605
          53 ,        4797
          54 ,        6342
          54 ,         852
          54 ,        2192
          54 ,         824
          55 ,        5894
          55 ,        5077
          55 ,        6873
          55 ,        3126
          56 ,        9486
          56 ,        2678
          56 ,        3592
          56 ,        6331
          57 ,        4125
          57 ,        8249
          57 ,        2046
          57 ,        1498
          58 ,        2776
          58 ,        4913
          58 ,          98
          58 ,        3920
          59 ,        9063
          59 ,        6690
          59 ,        3986
          59 ,        5278
          60 ,        2828
          60 ,        3405
          60 ,        1558
          60 ,        6648
          61 ,        9187
          61 ,        6572
          61 ,        4242
          61 ,         680
          62 ,        3301
          62 ,        7630
          62 ,        9007
          62 ,        9023
          63 ,         646
          63 ,        7503
          63 ,        7719
          63 ,        7491
          64 ,        5363
          64 ,        4169
          64 ,        6763
          64 ,        4759
          65 ,        3321
          65 ,        8318
          65 ,        4586
          65 ,        7409
          66 ,        9186
          66 ,         830
          66 ,         986
          66 ,        5593
          67 ,         431
          67 ,           1
          67 ,         154
          67 ,         131
          68 ,        4304
          68 ,        6273
          68 ,        2302
          68 ,        1275
          69 ,         275
          69 ,        2703
          69 ,        6956
          69 ,        5238
          70 ,        1435
          70 ,        2739
          70 ,        4841
          70 ,        4715
          71 ,        8148
          71 ,        6196
          71 ,        7046
          71 ,        2925
          72 ,        8800
          72 ,        7331
          72 ,        6761
          72 ,        5997
          73 ,        3701
          73 ,        7017
          73 ,        8480
          73 ,        8871
          74 ,        8275
          74 ,        2487
          74 ,        8345
          74 ,        3225
          75 ,        8265
          75 ,        8268
          75 ,         833
          75 ,        9967
          76 ,        5435
          76 ,        6527
          76 ,        5988
          76 ,        6703
          77 ,        1710
          77 ,           1
          77 ,        3568
          77 ,        9581
          78 ,        1785
          78 ,         685
          78 ,        4615
          78 ,        8907
          79 ,        4119
          79 ,        4661
          79 ,        9393
          79 ,        9493
          80 ,        7454
          80 ,        7828
          80 ,        3624
